11,chocolate chip brandy balls,2 (3 oz.)  pkg. cream cheese4  c. confectioners sugar or sifted1  Tbsp. heavy cream1  tsp. brandy extract1/2  tsp. salt1/4  tsp. cinnamon1/8  tsp. nutmeg1/2  c. Nestle Toll House semi-sweet chocolate morsels1 1/4  c. finely chopped pecans,In bowl  beat cream cheese  sugar  cream  brandy extract  salt  cinnamon and nutmeg until creamy.  Stir in Toll House semi-sweet morsels.  Drop by rounded teaspoonfuls onto cookie sheet; chill 5 minutes.  Roll into balls and roll in the nuts.  Makes 3 dozen balls.
12,chocolate caramels,1  c. light cream1  c. butter2  c. sugar3/4  c. light corn syrup1/2  tsp. salt3  oz. (3 sq.) unsweetened chocolate1/8  tsp. cream of tartar2  tsp. vanilla  almonds or pecans or walnuts (if desired),Combine first 7 ingredients in heavy saucepan.  Cook over low heat  stirring constantly  until sugar dissolves.  Cook until candy forms a firm ball in cold water (245° on candy thermometer). Remove from heat.  Stir in vanilla.  Pour in a 9 x 9 x 2-inch pan. Do not scrape pan.  Nuts can be pressed into top  if desired.  Let cool.  Cut into 3/4-inch squares.  Let dry.  Wrap.  Makes 144 caramels.
13,chocolate fudge icing,2  c. sugar1  stick butter2  Tbsp. white syrup3 heaping  tsp. cocoa1 small  can Carnation milk,Mix all ingredients well.  Cook over low heat until forms a soft ball in water or to the soft ball stage on a candy thermometer.  Remove from heat and stir until cool.
14,bird's nests,3  c. Rice Krispies1  c. shredded coconut1/3  c. light corn syrup1/2  c. brown sugar1  tsp. vanilla,"Combine cereal and coconut in bowl.  Combine other ingredients in saucepot and bring to a boil while stirring.  Remove from heat. Stir in cereal mixture.  Let cool  shape into bird's nests.  Fill with ""jelly bean eggs""."
15,chocolate macadamia muffins,1 1/2  c. semi-sweet morsels1/3  c. butter1 1/2  c. flour1  tsp. baking soda1/4  tsp. salt1  c. chopped Macadamia nuts2/3  c. sour cream1/4  c. corn syrup1  egg,Preheat oven to 375°.  Combine over hot (not boiling) water  semi-sweet morsels and butter.  Stir until morsels are melted and mixture is smooth; set aside.  In a large bowl  combine flour  baking soda and salt.  Add nuts to coat well.  Make a well in the center of flour mixture.  In a small bowl  combine melted morsels  sour cream  corn syrup and egg until blended.  Add to dry ingredients; stir until just moistened.  Spoon into paper-lined muffin pans  filling each about 3/4 full.  Bake for 15 to 18 minutes.  Cool 5 minutes; remove from pans.  Cool completely or serve warm.  Makes about 15 muffins.
16,mumbles,1/3  c. butter1/2  c. sugar1  egg  grated rind of 1/2 lemon1  c. flour1/3 level  tsp. salt1 level  tsp. baking powder,Beat the butter and sugar to a creamy mixture.  Add the beaten egg and lemon rind.  Sift dry ingredients together and add.  Drop by spoonfuls on a greased pan and bake about 10 minutes at 350°.
17,chocolate egg nog,3  c. dairy egg nog1  c. chocolate milk1/2  c. creme de cacao1  c. whipped cream  shaved chocolate,Mix and chill egg nog  chocolate milk and creme de cacao.  When ready to serve  stir in whipped cream.  Garnish with shaved chocolate.  Makes ten 1/2-cup servings.
18,chocolate chip brittle,1  c. soft butter1 1/2  tsp. vanilla1  tsp. salt1  c. sugar2  c. flour or sifted12  oz. semi-sweet chocolate morsels1  c. finely chopped walnuts,Combine butter  vanilla and salt and blend well.  Gradually beat in sugar.  Add flour  chocolate pieces and 3/4 cup walnuts; mix well.  Press evenly in ungreased 15 x 10 x 1-inch pan. Sprinkle remaining 1/4 cup walnuts over top and press in lightly. Bake at 375° for 25 to 30 minutes or until golden brown. Cool  then break into pieces or cut into bars.  Makes 1 3/4 pounds.
19,chocolate sundae cookies,1 1/2  c. flour1/2  tsp. each: soda and salt2/3  c. brown sugar1/2  c. shortening1  unbeaten egg1/4  c. maraschino cherry juice2  Tbsp. milk2  sq. (2 oz.) unsweetened chocolate or melted1/2  c. chopped walnuts1/4  c. maraschino cherries or chopped18  marshmallows or cut in half2  Tbsp. butter2  blocks Hershey's chocolate3  Tbsp. milk1 1/2  c. confectioners sugar1/2  tsp. vanilla  pinch of salt,Sift together first 3 ingredients; set aside.  Add brown sugar to shortening.  Blend in egg.  Stir in half the dry ingredients. Add cherry juice and 2 tablespoons milk; stir in remaining dry ingredients.  Mix well.  Blend in chocolate  walnuts and cherries. Drop by rounded teaspoonful onto ungreased cookie sheet.  Bake at 350° for 12 to 15 minutes.  Cut marshmallows in half and place on hot cookies.      For Icing:  Melt butter and chocolate in top of double boiler; stir until blended.  Stir 3 tablespoons milk into sugar and beat until smooth.  Add vanilla  pinch of salt and chocolate mixture. Beat until smooth and thickened.  Frost cookies; top with nut halves.
20,hickory nut cookies,1  lb. butter or softened1 1/4  c. confectioners sugar or sifted4  c. cake flour2  c. hickory nuts (the more the better)3/4  Tbsp. vanilla,Cream butter and sugar.  Stir in flour  nuts and vanilla.  Mix well.  Shape in 1-inch balls.  Bake 15 to 20 minutes at 325°.
21,north carolina cookies,1  Tbsp. butter3/8  c. granulated sugar1  egg1  c. flour1  tsp. baking powder  sprinkle of salt1  tsp. vanilla1  c. well-washed currants,Combine first 7 ingredients; mix well.  Stir in currants.  This dough is very soft.  It's a good idea to chill it.  Divide into sections and roll thin.  Cut.  Grease electric frypan lightly.  Set at 250° and bake 5 minutes on each side.  Be careful because they burn easily.
22,meringues,2  egg whites3/4  c. brown sugar or firmly packed  pinch of salt2  c. pecans,Beat egg whites at room temperature until stiff peaks form. Gradually add sugar  beating until well blended.  Fold in remaining ingredients.  Drop by teaspoon onto greased cookie sheet.  Bake at 250° for 30 minutes.
24,chocolate chip sour cream cookies,2 1/2  c. flour1/2  tsp. baking powder1/2  tsp. salt1  tsp. soda1/2  c. butter1 1/2  c. brown sugar2  eggs1  tsp. vanilla1  c. sour cream1  c. chopped nuts2 (6 oz.)  pkg. chocolate chips,Sift together:  flour  baking powder  salt and soda.  Cream butter and brown sugar.  Add eggs and vanilla to butter and sugar mixture.  Add sour cream  chopped nuts and chocolate chips.  Add sifted dry ingredients.  Bake at 375° until lightly browned.
25,czechoslovakian cookies,1  c. butter1  c. sugar2  egg yolks2  c. flour1  c. nuts or finely chopped1/2 to 3/4  c. jam,Cream butter and sugar until smooth.  Add egg yolks; mix until blended.  Slowly add flour and nuts; mix until blended.  Spoon 1/2 of the nut mixture into 8-inch square pan; spread evenly.  Cover mixture in pan with jam and pat remaining mixture over jam  covering jam completely.  Put in a cold oven; turn oven on to 325° and bake for 1 hour.
26,french lace cookies,2/3  c. butter2  c. quick oats1  c. sugar2/3  c. flour1/4  c. light corn syrup1/4  c. milk1  tsp. vanilla1  (11 1/2 oz.) chocolate morsels,Melt butter in saucepan.  In bowl  mix butter  oats  sugar  flour  corn syrup  milk and vanilla until well blended.  Drop by level teaspoon  3 inches apart onto foil-covered cookie sheets. Spread thin with a spatula.  Bake at 375° for 5 to 7 minutes.  Melt chocolate morsels over hot water.  Spread chocolate onto the flat side of one cookie.  Add another cookie to top to make a sandwich.
27,chocolate popcorn balls,1 1/4  c. sugar1/2  c. cocoa3/4  c. light corn syrup2  tsp. cider vinegar1/8  tsp. salt2  Tbsp. butter1/4  c. cream2  qt. popped corn,Combine sugar  cocoa  corn syrup  vinegar and salt in saucepan. Add butter; cook over low heat  stirring constantly until comes to boil.  Add cream; cook to hard ball stage.  Stir into popcorn. Butter hands and roll into balls.
28,chocolate pumpkin nut bread,1 2/3  c. flour1  Tbsp. pumpkin pie spice1  tsp. baking soda3/4  tsp. salt1/4  tsp. baking powder1 1/2  c. sugar1/2  c. oil2  eggs1  c. canned pumpkin1  c. chocolate chips1/2  c. toasted almonds,Mix flour  spice  soda  salt and baking powder.  Beat sugar  oil and eggs in a large bowl.  Beat in pumpkin and 1/3 cup water. Stir in flour mixture  then chocolate chips and nuts.  Scrape into greased 9 x 5 x 3-inch loaf pan.  Bake at 350° for about 70 minutes or until toothpick inserted in center comes out clean.  Cool in pan for 15 minutes.  Turn out on wire rack and cool completely. Freezes well.
29,arkansas cookies,1  c. melted butter2  c. brown sugar2  eggs1  tsp. vanilla1  tsp. salt2  c. flour,Cream melted butter and brown sugar.  Add eggs  vanilla  salt and flour.  Mix well.  Pat onto a greased and floured cookie sheet. Bake at 300° for 25 to 30 minutes.  Cool and cut into squares.
30,chocolate chip and walnut muffins,1/3  c. granulated sugar1/3  c. packed brown sugar2  c. all-purpose flour2  tsp. baking powder1/2  tsp. salt2/3  c. milk1/2  c. (1 stick) unsalted butter or melted and cooled2  eggs or lightly beaten1 1/2  tsp. vanilla6  oz. (1 c.) milk chocolate chips6  oz. (1 c.) semi-sweet chocolate chips1/2  c. chopped nuts,In a large bowl  stir together sugars  flour  baking powder and salt.  In another bowl mix together milk  butter  eggs and vanilla until blended.  Make a well in center of dry ingredients.  Add milk mixture and stir to combine.  Stir in chips and nuts.  Spoon batter into greased muffin cups; grease the edges around cups.  Bake in 400° oven for 15 to 20 minutes or until a cake tester comes out clean.  Remove muffins from oven and cool 5 minutes.  Remove from pans and cool on rack.  Serve warm or cold.  Makes 12 large muffins.
31,chocolate drink mix,1 (16 oz.)  box instant chocolate powder1 (8 qt.)  box powdered milk1 (6 oz.)  jar powdered cream1/2  c. powdered sugar,Combine all ingredients and mix well.  Store in airtight container.  To serve:  Use 1/3 cup mix to 1 cup hot water.
32,chocolate covered peanuts,6  oz. semi-sweet chocolate chips6  oz. butterscotch chips2  Tbsp. peanut butter2  c. Spanish peanuts,Melt chips and peanut butter over low heat.  Add 2 cups Spanish peanuts.  Drop by spoonfuls on waxed paper.  Let sit in refrigerator about 30 minutes.  Can store at room temperature.
33,monster cookies,12  beaten eggs2  lb. brown sugar4  c. sugar1  Tbsp. brown syrup (or white)8  tsp. soda1  lb. oleo3  lb. crunchy peanut butter18  c. oatmeal1  Tbsp. vanilla1  lb. chocolate chips1  lb. M&M's candy,Mix in order given:  eggs  brown sugar  sugar  syrup  soda  oleo  peanut butter  oatmeal  vanilla  chocolate chips and M&M's. Drop on a cookie sheet with a large spoon and then flatten batter with a fork.  Bake for 13 minutes at 350°.
34,almond crescents,1  c. soft butter1/2  c. powdered sugar1  tsp. vanilla1/2  tsp. almond extract2 1/4  c. flour1/4  tsp. salt3/4  c. ground almonds  powdered sugar (for coating),Mix butter  1/2 cup powdered sugar and flavorings.  Mix at medium speed for 2 minutes.  Turn to low and add flour and salt. Beat until smooth.  Add almonds and blend.  Drop by teaspoon onto ungreased cookie sheet.  Shape into crescents.  Bake 8 minutes at 400°.  While warm  shake in bag of powdered sugar to coat.
35,daffodil cake,1  large angel food cake1  pkg. vanilla pudding mix1 medium  can pineapple bits1  pt. all-purpose cream,Mix undrained pineapple and contents of pudding in saucepan (use no milk).  Cook over low heat just until it thickens.  Let cool.  Beat cream until thick and fold into pineapple mix.  Cut cake into 4 layers.  Put layers together with pineapple mix and frost top and sides.  Garnish with cherries and mint leaves.
36,chocolate walnut pumpkin bread,1 2/3  c. flour1 1/2  c. sugar1/2  tsp. salt2  tsp. pumpkin spice1  tsp. baking soda1/4  tsp. baking powder1  c. canned pumpkin1/2  c. vegetable oil1/2  c. water2  eggs1  c. chocolate chips1/2  c. chopped nuts,In a large bowl  combine flour  sugar  salt  spice  baking soda and baking powder.  Add pumpkin  oil  water and eggs.  Beat to blend thoroughly.  Stir in chocolate chips and nuts.  Spoon into greased loaf pan.  Level top.  Bake at 350° for one hour until loaf is lightly browned and springy to touch.  Cool.
37,gummy cookies,1  c. Crisco3/4  c. brown sugar3/4  c. white sugar2  large eggs2  c. sifted all-purpose flour1/4  tsp. salt1  tsp. baking powder1  tsp. baking soda2  c. oatmeal1  tsp. vanilla3/4  c. nutmeats (optional)1  c. chopped gumdrops (miniature),Cream together Crisco  brown and white sugars well.  Add eggs. Beat well.  Sift dry ingredients together and add to creamed mixture.  Add flavoring  nuts (optional) and gumdrops.  Mix well. Drop by teaspoons on greased cookie sheet.  Bake 10 minutes at 350°.  Yields 8 dozen.
38,chocolate ripple divinity,2  c. sugar1/2  c. water1/2  c. light corn syrup1/8  tsp. salt2  egg whites or unbeaten1  tsp. vanilla1 (6 oz.)  pkg. semi-sweet chocolate pieces,Combine sugar  water  syrup and salt in a heavy saucepan.  Cook over low heat  stirring constantly until sugar is dissolved.  Cook to hard ball stage (252°) without stirring.  Beat egg whites until stiff.  Pour hot syrup slowly over egg whites  beating constantly. Add vanilla; continue beating until mixture loses gloss and will hold shape.  Fold in chocolate bits quickly; drop from teaspoon onto buttered waxed paper.
39,chocolate caramel apples,12  small tart or crisp apples1  c. margarine1 (16 oz.)  pkg. brown sugar  pinch of salt1  c. light corn syrup1 (14 oz.)  can sweetened condensed milk2  sq. unsweetened chocolate1  tsp. vanilla1  c. chopped peanuts,You will need 12 wooden skewers.      Butter a baking sheet.  Set aside.  Wash and dry apples; remove stems.  Insert skewer into stem end of each apple.  In heavy 3-quart saucepan  melt margarine.  Stir in brown sugar and salt. Add corn syrup and mix well.  Gradually stir in milk.  Add chocolate.  Cook over medium heat  stirring constantly  12 to 15 minutes until candy thermometer registers 245° (firm ball stage). Remove from heat.  Stir in vanilla.      Dip each apple into chocolate mixture  turning to coat.  With narrow spatula  scrape excess caramel from bottom of apple and let drip back into pan.  Immediately dip bottom halves of apples in chopped peanuts.  Set on buttered baking sheet to cool.  Makes 12 chocolate caramel apples.
40,chocolate cake doughnuts,3 1/4  c. all-purpose flour2  tsp. baking powder1/2  tsp. salt2  eggs or beaten1  c. sugar1  tsp. vanilla2/3  c. milk1/4  c. butter or margarine or melted1  sq. unsweetened chocolate or melted and cooled  shortening or cooking oil for frying,Stir together first 3 ingredients.  In a large bowl  beat eggs  sugar and vanilla until thick.  Combine milk  melted butter and melted chocolate.  Add flour mixture and milk mixture alternately to egg mixture.  Beat until just blended after each addition. Cover and chill 2 hours.  On lightly floured surface  roll dough to 1/2-inch thickness.  Cut with doughnut cutter.  Fry in deep fat at 375° for about 1 minute per side  turning once.      For a chocolate glaze  melt chocolate and butter.  Stir in powdered sugar and vanilla.  Add enough boiling water to make of drizzling consistency.
41,chocolate zucchini bread,2  eggs1/2  c. vegetable oil1  c. brown sugar1/2  tsp. vanilla1 1/2  c. grated zucchini1  sq. unsweetened chocolate or melted2  c. flour1/2  tsp. salt1/2  tsp. soda1/8  tsp. baking powder1/2  tsp. cinnamon1/2  tsp. pumpkin pie spice1/4  c. chopped nuts,Beat eggs; add oil and brown sugar and beat well.  Add vanilla  zucchini and chocolate.  Beat.  Mix dry ingredients together and add to first mixture.  Add nuts and beat well.  Bake in standard loaf pan at 350° for 55 to 60 minutes.  Cool in pan until bread will remove easily  then cool on rack.
42,velveeta fudge,1  (8 oz.)  Velveeta cheese1  c. butter1/2  c. cocoa2  tsp. vanilla2  lb. powdered sugar1  c. nuts (optional),Heat cheese and butter on low heat until melted or microwave for 3 to 4 minutes.  Add cocoa  vanilla  powdered sugar and nuts. Mix well.  Mixture will be very thick.  Press into 9 x 13-inch pan. Chill.  No cooking and very delicious.
43,chewy ginger cookies,1  c. sugar1/2  c. shortening1  egg1/3  c. molasses1  tsp. cinnamon1/4  tsp. cloves1/4  tsp. nutmeg1/2  tsp. salt1 1/2  tsp. soda2  c. flour,Cream sugar and shortening.  Add egg and molasses.  Then sift remaining dry ingredients and add.  Roll into walnut-size balls. Roll in sugar and place on greased cookie sheet.  Bake at 325° for 15 minutes.  Makes 1 dozen.
44,cinnamon cookies,2 1/2  c. flour1 1/2  tsp. baking powder1/2  tsp. salt1  tsp. cinnamon1  c. sugar3/4  c. oil2  eggs or beaten1  tsp. vanilla,Preheat oven to 375°.  Sift flour  baking powder  salt and cinnamon together.  Put sugar and oil in mixing bowl; mix well. Add eggs  then vanilla.  Add flour mixture all at once; beat well. Shape into 1/2-inch balls; roll in sugar.  Place on lightly greased baking sheets.  Flatten with fork; sprinkle with sugar.  Bake 10 to 12 minutes.  Remove to cooling trays.  Yields about 50.
45,chocolate fudge syrup,1  c. sugar2  Tbsp. cocoa1/2  stick butter1 small  can Pet milk1/2  tsp. vanilla,Mix sugar and cocoa on the stove for 1 minute.  Add 1/2 stick butter.  When melted add 1 small can of Pet milk and boil for 2 minutes.  Add 1/2 teaspoon vanilla.  Good served with plain cake and vanilla ice cream.
46,black walnut cookies,1/2  c. butter1  c. light brown sugar or packed1  egg1  tsp. vanilla extract3/4  tsp. black walnut flavoring1 1/2  c. flour1/2  tsp. soda1/4  tsp. salt1/2  c. black walnuts,Cream butter.  Add sugar gradually.  Cream until light and fluffy.  Add egg  extract and black walnut flavoring.  Beat well. Sift flour  soda and salt together.  Add to creamed mixture.  Add black walnuts and blend.  Drop by teaspoonfuls onto greased cookie sheets.  Bake at 350° for 10 minutes.  Makes 5 dozen (2-inch) cookies.
47,rocky road candy,35  large marshmallows or divided1 (12 oz.)  pkg. chocolate chips (semi-sweet)1/2  lb. margarine4  c. sugar1 1/2  c. evaporated milk1  tsp. vanilla2  c. chopped walnuts,Cut 15 marshmallows into fourths and put on a tray in the freezer.  In a large glass bowl  cut the margarine into the chocolate chips.  Set aside.      Bring to a boil the sugar  milk and 20 whole marshmallows. Boil rapidly for 5 full minutes  stirring constantly.  Pour over butter and chip mixture.  Stir until it starts to thicken.  Add vanilla and nuts.  Add frozen marshmallow pieces and mix a little. Pour into a buttered pan and place in refrigerator until set.
48,mounds,2  boxes confectioners sugar1  can sweetened condensed milk1  stick butter or margarine1  can flaked coconut1 to 4  c. chopped pecans (more or less or none)  pinch of salt2  pkg. chocolate chips or semi-sweet chocolate or German's sweet chocolate1  stick or 1 block paraffin (1/4 lb.),Melt butter slowly and add milk.  Stir in sugar and salt.  Add coconut and pecans.  Chill until it can be easily handled.  Roll into balls.  Place in refrigerator or freezer until firm.  Melt chocolate and paraffin together in top of double boiler.  Remove from heat and dip each candy ball in chocolate  using toothpick. Remove candy from chocolate quickly and place on wax paper.  Use another toothpick to push ball from inserted toothpick.  If hole remains where toothpick was inserted  smooth with spoon and a small amount of coating.  Keep refrigerated.
49,chocolate covered raisins,1 (6 oz.)  pkg. semi-sweet chocolate morsels1/4  c. dark corn syrup2  Tbsp. powdered sugar1 1/2  tsp. vanilla extract2  c. raisins,Combine chocolate morsels and corn syrup in top of double boiler.  Bring water to a boil; reduce heat to low.  Cook until chocolate melts  stirring constantly.  Remove from heat and stir in powdered sugar  vanilla and raisins.  Drop by half teaspoons into waxed paper.  Chill and store in refrigerator.  Makes about 5 1/2 dozen.
50,danish cookies #2,1/2  c. butter1/2  c. lard1  c. sugar1  egg1  tsp. vanilla flavoring2  c. flour1/2  tsp. baking soda1/2  tsp. cream of tartar,Cream butter and lard.  Add sugar and cream together thoroughly.  Add egg and vanilla.  Mix dry ingredients and sift in a little at a time.  Roll into small balls and flatten with fork. Bake in 350° oven until slightly brown.  Makes 48 cookies.
51,candy cane cookies,1/2  c. Crisco1/2  c. butter1  c. powdered sugar1  egg1 1/2  tsp. vanilla flavoring or peppermint2 1/2  c. flour1/2  tsp. red food coloring,Preheat oven to 375°.  Mix shortening  butter  sugar  egg and flavoring.  Add flour and mix.  Divide dough in half and add red food coloring to half of dough.  Roll a 4-inch strip using 1 teaspoon dough from each color.  Twist together and shape like a candy cane.  Sprinkle with granulated sugar.  Bake 10 minutes on ungreased baking sheet.
52,frying pan cookies,1  c. sugar1 1/2  c. dates (1 pkg.) or cut up2  eggs2  c. Rice Krispies  pinch of salt3/4  c. chopped nuts,Put sugar  dates and eggs in greased frying pan.  Stir constantly  7 to 10 minutes  mashing dates as you stir.  Add remaining ingredients.  Stir into mixture until well mixed.  Start pan on hot.  When hot  turn to low.  When all is mixed  turn out on wax paper.  On another sheet of wax paper  empty can of Angel Flake coconut.  As soon as mixture is cool enough to handle  grease hands and form balls  fingers or any other shape you might want.  Roll in coconut.
53,funnel cakes,2  eggs1  c. milk1 3/4  c. unsifted all-purpose flour2  Tbsp. sugar1  tsp. baking powder1/4  tsp. salt  dash of cinnamon (1/4 tsp. at least)  vegetable oil  confectioners sugar,Beat eggs.  Beat in milk gradually.  (You will need to add more milk to make it as thin as pancake batter.)  Add flour  sugar  baking powder  salt and cinnamon.  Beat until smooth.  Cook in skillet 3/4 full of hot oil.  Cook until that side is done.  Turn and cook the other side.  Remove and drain well.  Sprinkle with confectioners sugar.
54,missouri cookies,2  c. sugar3  Tbsp. cocoa1/2  c. milk1/4  lb. margarine1  tsp. vanilla1/2  c. crunchy peanut butter  pinch of salt3  c. quick-cooking oats,Combine sugar  cocoa  milk and butter in saucepan; cook at full rolling boil for 1 minute.  Remove from heat.  Add vanilla  peanut butter and salt.  Mix well.  Add oats.  Drop by teaspoons on waxed paper and cool until firm.  Makes 4 dozen.
55,mount rainier cookies,2  eggs2  c. powdered sugar1  tsp. vanilla  dash of salt1  c. chopped nuts4  c. miniature marshmallows (large size pkg.)2  sq. chocolate or melted and cooled2  Tbsp. melted butter  grated coconut,Beat eggs until fluffy and lemon colored.  Add slowly the powdered sugar  vanilla and salt.  Stir in nuts and marshmallows. Add cooled chocolate and butter.  Have fine grated coconut in a bowl.  Drop cookies into coconut and roll until covered.  Set aside to firm and set.  These are very rich.
56,grasshopper cookies,2  egg whites3/4  c. sugar1/2  tsp. cream of tartar  dash of salt1  tsp. creme de menthe6  oz. chocolate chips  green food coloring,Preheat oven to 375°.  Combine first 4 ingredients and beat until stiff.  Fold in remaining ingredients.  Drop by teaspoonfuls on foil-covered cookie sheets.  Turn oven off and leave cookies in oven overnight.  Store in tins between wax paper.  May be frozen.
58,thanksgiving cake,1 (11 oz.)  pkg. spice cake mix1  c. canned pumpkin1/2  c. salad oil3  eggs1 (3 3/4 oz.)  pkg. instant vanilla pudding1 1/2  tsp. cinnamon1/2  c. water1  c. chopped pecans,Preheat oven to 350°.  Combine all ingredients  except pecans. Beat at medium speed 5 minutes.  Add nuts and mix well; pour batter into well-greased and floured Bundt pan.  Bake 40 to 50 minutes. Let cool in pan 10 minutes  then loosen center and sides with plastic spatula.  Invert and tip on wire rack to cool.  Can ice with cream cheese icing or use Cool Whip to serve.
60,giant oreos,1/2  c. butter1  Tbsp. lard1  c. sugar1/4  tsp. salt1  tsp. cinnamon1/2  c. (scant) cocoa1  egg or well beaten1/2  tsp. soda2  Tbsp. milk2 to 2 1/2  c. flour,Beat until creamy the butter and lard.  Gradually beat sugar into this.  Then add salt  cinnamon and melted cocoa.  Add well beaten egg.  Add soda dissolved in milk.  Stir in about 2 to 2 1/2 cups flour.  Roll 1/8-inch thick.  Cut with round cutter.  Bake in quick oven.  Use as little flour as possible for rolling.  Frost after cooled with buttercream frosting  putting two cookies together like a sandwich.
61,mexican wedding cookies,1  c. butter or margarine or softened1/2  c. sugar1  tsp. vanilla1/4  tsp. salt2  c. flour  confectioners sugar,Preheat oven to 375°.  Cream butter  1/2 cup sugar  vanilla and salt until fluffy.  Stir in flour until well blended.  Chill 30 minutes or until firm enough to handle.  Shape in 1-inch balls. Place 1 inch apart on ungreased cookie sheet and bake until light golden  12 to 15 minutes.  Remove to rack while cookies are still warm; sift heavily with confectioners sugar.  Cool  then store airtight in cool  dry place.  Before serving  sift cookies with more confectioners sugar.  Makes about 48 cookies.
62,walnut pie,3  eggs2/3  c. sugar1/4  tsp. salt3/4  c. Karo (light or dark)1/4  c. maple syrup1/3  c. butter or margarine2  c. chopped walnuts1  unbaked pie shell,Beat eggs thoroughly with sugar  salt  corn syrup  maple syrup and melted butter or margarine.  Add chopped walnuts and mix thoroughly.  Pour into unbaked pie shell.  Bake at 350° for 50 minutes or until knife inserted comes out clean.  Cool completely before cutting.  Serve with whipped cream.
